,交易日期,账户可用资金,持仓市值,印花税,券商佣金,总资产,净值,手续费,涨跌幅,杠杆,实际杠杆,净值max2here,净值dd2here
1970,2022-02-08,5928338.323329209,211256794.48000002,0.0,0.0,217185132.80332923,21.718513280332925,0.0,0.023901635328049897,1.0,0.9727037562525167,22.989593917271364,-0.055289390561331975
1971,2022-02-09,5880030.087932411,212457891.00000003,32267.5806,7745.2147968,218337921.08793244,21.833792108793244,40012.7953968,0.00530786002579231,1.0,0.9730691303707875,22.989593917271364,-0.050274998881550625
1972,2022-02-10,5798467.478422013,211166679.07999998,33876.59952,8135.129990399999,216965146.558422,21.6965146558422,42011.7295104,-0.0062873848146496325,1.0,0.9732746592233852,22.989593917271364,-0.05624628543167587
1973,2022-02-11,6269054.3020028155,204130071.92,38401.769,9154.2474192,210399126.2220028,21.03991262220028,47556.0164192,-0.0302630189252594,1.0,0.9702039907932506,22.989593917271364,-0.08480712195644091
1974,2022-02-14,6534841.057634817,207379105.35999995,32963.64464,7874.479728,213913946.4176348,21.39139464176348,40838.124368,0.01670548855760612,1.0,0.9694510752240691,22.989593917271364,-0.0695183778042816
1975,2022-02-15,6762251.350165615,206676639.61999997,33724.275,8061.5224692,213438890.97016558,21.343889097016557,41785.7974692,-0.002220778286899261,1.0,0.9683176232811722,22.989593917271364,-0.07158477118721263
1976,2022-02-16,6526185.395944811,210795855.23000002,33554.40484,8076.389380799999,217322040.62594482,21.732204062594484,41630.7942208,0.018193261959565055,1.0,0.9699699792200199,22.989593917271364,-0.05469386972217205
1977,2022-02-17,5835041.587272809,209856181.26000002,26951.202599999997,6547.206071999999,215691222.84727284,21.569122284727285,33498.408672,-0.007504152703401767,1.0,0.9729472460202773,22.989593917271364,-0.06178759127523881
1978,2022-02-18,5232898.065085607,212251931.9,30682.57956,7431.502627200001,217484829.96508563,21.748482996508564,38114.0821872,0.008315624039476166,1.0,0.9759390203632792,22.989593917271364,-0.05398576961511237
1979,2022-02-21,6452280.084621602,215360346.34,33129.3692,7799.811264,221812626.4246216,22.181262642462162,40929.180464000005,0.01989930267886164,1.0,0.9709111235522281,22.989593917271364,-0.035160746106173146
1980,2022-02-22,6609460.152338399,213861323.0,34503.254109999994,8256.788173199999,220470783.1523384,22.04707831523384,42760.04228319999,-0.0060494449478024626,1.0,0.9700211517470255,22.989593917271364,-0.04099748805608272
1981,2022-02-23,7162703.798997605,216488769.99,37004.35500000001,8809.1583408,223651473.78899762,22.365147378899763,45813.51334080001,0.014426812438278924,1.0,0.9679738135517264,22.989593917271364,-0.027162138688429538
1982,2022-02-24,7091315.314303205,211160032.08,32537.613000000005,7812.751694400002,218251347.39430323,21.82513473943032,40350.36469440001,-0.024145275249959353,1.0,0.9675084923920689,22.989593917271364,-0.05065157662337916
1983,2022-02-25,7013274.8397248145,215661645.50000003,29994.156000000003,7203.498578399998,222674920.33972484,22.267492033972484,37197.654578400005,0.020268250337212246,1.0,0.9685044241667405,22.989593917271364,-0.031409945121144034
1984,2022-02-28,7035493.092328816,213214976.05,32556.417,7806.030396000001,220250469.14232883,22.025046914232885,40362.447396,-0.010887850296284474,1.0,0.9680568530921839,22.989593917271364,-0.041955808637134995
1985,2022-03-01,6864762.284836821,217035851.35000002,38383.817,9226.890492,223900613.63483685,22.390061363483685,47610.707492,0.01657269792305982,1.0,0.9693401363516017,22.989593917271364,-0.02607843165673618
1986,2022-03-02,6987962.91431762,220441202.09,36933.51441,8843.7661092,227429165.0043176,22.74291650043176,45777.2805192,0.01575945376923138,1.0,0.9692741126047535,22.989593917271364,-0.010729959725573113
